BridgeDB System Code	Identifier Type	Example
A	TAIR	AT1G01030
Ag	Agilent	A_24_P98555
Bc	BioCyc	EcoCyc:MON0-2657
Bg	BioGrid	31623
C	Cint	null
Ca	CAS	null
Cc	CCDS	CCDS43989
Ce	ChEBI	CHEBI:36927
Ch	HMDB	HMDB00001
Ck	Kegg Compound	C12345
Cp	PubChem	100101
Cpc	PubChem-compound	100101
Cps	PubChem-substance	100101
Cs	Chemspider	56586
D	SGD	S000028457
E	EC Number	1.1.1.1
Ec	Ecoli	null
Em	EMBL	X58356
En	Ensembl	ENSG00000139618
EnAg	Ensembl Mosquito	AGAP006864
EnAt	Gramene Arabidopsis	ATMG01360-TAIR-G
EnBs	Ensembl B. subtilis	EBBACG00000000013
EnBt	Ensembl Cow	ENSBTAG00000043548
EnCe	Ensembl C. elegans	Y42H9B.1
EnCf	Ensembl Dog	ENSCAFG00000025860
EnDm	Ensembl Fruitfly	FBgn0032956
EnDr	Ensembl Zebrafish	ENSDARG00000024771
EnEc	Ensembl E. coli	EBESCG00000000010
EnGg	Ensembl Chicken	ENSGALG00000021736
EnHs	Ensembl Human	ENSG00000139618
EnMm	Ensembl Mouse	ENSMUSG00000017167
EnMx	Ensembl M. tuberculosis	EBMYCG00000003122
EnOj	Gramene Rice	osa-MIR171a
EnPt	Ensembl Chimp	ENSPTRG00000036034
EnQc	Ensembl Horse	ENSECAG00000026160
EnRn	Ensembl Rat	ENSRNOG00000016648
EnSc	Ensembl Yeast	YGR147C
EnSs	Ensembl Pig	ENSSSCG00000004244
EnXt	Ensembl Xenopus	ENSXETG00000029448
EnZm	Gramene Maize	GRMZM2G174107
F	FlyBase	FBgn0011293
G	GenBank	null
Ge	CodeLink	GE86325
Gg	Gramene Genes DB	GR:0060184
Gl	Gramene Literature	6200
Gp	Gramene Pathway	AAH72400
Gw	Gene Wiki	1017
H	HGNC	DAPK1
Hac	HGNC Accession number	HGNC:2674
Hs	HsGene	null
I	InterPro	IPR000100
Il	Illumina	ILMN_5668
Ip	IPI	IPI00000001
Ir	IRGSP Gene	Os12g0561000
Kg	KEGG Genes	syn:ssr3451
L	Entrez Gene	100010
M	MGI	MGI:2442292
Mb	miRBase Sequence	MI0000001
Mbm	miRBase mature sequence	MIMAT0000001
Mg	MaizeGDB	acc1
N	NASC Gene	ATMG00960-TAIR-G
Nw	NuGO wiki	HMDB00001
O	Other	null
Ob	Oryzabase	468
Om	OMIM	603903
Os	Rice Ensembl Gene	LOC_Os04g54800
Pd	PDB	2gc4
Pf	Pfam	PF01234
Pl	PlantGDB	PUT-157a-Vitis_vinifera-37378
Q	RefSeq	NP_012345
R	RGD	2018
Re	Reactome	REACT_1590
Rf	Rfam	RF00066
S	Uniprot/TrEMBL	P62158
T	GeneOntology	GO:0006915
Tb	TubercuList	Rv0064
Ti	TIGR	12012.t00308
U	UniGene	Hs.553708
Uc	UCSC Genome Browser	uc001tyh.1
W	WormBase	WBGene00000001
Wc	Wheat gene catalog	341
Wg	WikiGenes	7157
Wi	Wikipedia	Acetate
Wn	Wheat gene names	5S-Rrna-D1_(Triticum)
Wp	WikiPathways	WP100
Wr	Wheat gene refs	WGS-95-1333
X	Affy	1851_s_at
Z	ZFIN	ZDB-GENE-041118-11
	Pathway Commons	485991
	MycoBrowser tuberculosis	Rv1908c
	REBASE	101
	Database of Interacting Proteins	DIP-743N
	Gramene QTL	CQG5
	Unit Ontology	UO:0000080
	Pseudomonas Genome Database	PSEEN0001
	TTD Drug	DAP000773
	MycoBrowser leprae	ML0224
	GEO	GDS1234
	MIRIAM Registry resource	MIR:00100005
	BIND	null
	KiSAO	KISAO_0000057
	CTD Chemical	D001151
